
Thread-2::FeetToMetersFilter Reading 
Thread-0::Source reading file...

Thread-1::FahrenheitToCelsiusFilter Reading 
Thread-3::Sink Reading 
Time:                           Temperature (C):        Altitude (m): 
---------------------------------------------------------------------------------
2014:14:13:01:294                            0.0                  0.0 

2014:14:13:01:805                      -51.87022          16660.87038 

2014:14:13:01:805                      -51.87022          16747.71149 

2014:14:13:01:805                      -51.87022          16747.71149 

2014:14:13:01:805                      -51.47451          16747.71149 

2014:14:13:01:805                      -51.47451          16747.71149 

2014:14:13:01:55                       -51.47451          16747.71149 

2014:14:13:01:55                       -51.47451          16747.71149 

2014:14:13:01:55                       -51.47451          16924.96462 

2014:14:13:01:55                       -51.47451          16924.96462 

2014:14:13:01:55                       -50.32768          16924.96462 

2014:14:13:01:55                       -50.32768          16924.96462 

2014:14:13:01:305                      -50.32768          16924.96462 

2014:14:13:01:305                      -50.32768          16924.96462 

2014:14:13:01:305                      -50.32768          17062.95115 

2014:14:13:01:305                      -50.32768          17062.95115 

2014:14:13:01:305                      -48.54621          17062.95115 

2014:14:13:01:305                      -48.54621          17062.95115 

2014:14:13:01:556                      -48.54621          17062.95115 

2014:14:13:01:556                      -48.54621          17062.95115 

2014:14:13:01:556                      -48.54621           17098.3914 

2014:14:13:01:556                      -48.54621           17098.3914 

2014:14:13:01:556                      -46.90773           17098.3914 

2014:14:13:01:556                      -46.90773           17098.3914 

2014:14:13:01:807                      -46.90773           17098.3914 

2014:14:13:01:807                      -46.90773           17098.3914 

2014:14:13:01:807                      -46.90773          18538.27107 

2014:14:13:01:807                      -46.90773          18538.27107 

2014:14:13:01:807                      -46.79571          18538.27107 

2014:14:13:01:807                      -46.79571          18538.27107 

2014:14:13:01:57                       -46.79571          18538.27107 

2014:14:13:01:57                       -46.79571          18538.27107 

2014:14:13:01:57                       -46.79571           18629.1518 

2014:14:13:01:57                       -46.79571           18629.1518 

2014:14:13:01:57                       -45.05541           18629.1518 

2014:14:13:01:57                       -45.05541           18629.1518 

2014:14:13:01:308                      -45.05541           18629.1518 

2014:14:13:01:308                      -45.05541           18629.1518 

2014:14:13:01:308                      -45.05541          19350.86386 

2014:14:13:01:308                      -45.05541          19350.86386 

2014:14:13:01:308                      -43.08362          19350.86386 

2014:14:13:01:308                      -43.08362          19350.86386 

2014:14:13:01:558                      -43.08362          19350.86386 

2014:14:13:01:558                      -43.08362          19350.86386 

2014:14:13:01:558                      -43.08362          19386.38931 

2014:14:13:01:558                      -43.08362          19386.38931 

2014:14:13:01:558                      -42.34696          19386.38931 

2014:14:13:01:558                      -42.34696          19386.38931 

2014:14:13:01:808                      -42.34696          19386.38931 

2014:14:13:01:808                      -42.34696          19386.38931 

2014:14:13:01:808                      -42.34696          19424.76825 

2014:14:13:01:808                      -42.34696          19424.76825 

2014:14:13:01:808                      -40.03505          19424.76825 

2014:14:13:01:808                      -40.03505          19424.76825 

2014:14:13:01:59                       -40.03505          19424.76825 

2014:14:13:01:59                       -40.03505          19424.76825 

2014:14:13:01:59                       -40.03505          20206.02294 

2014:14:13:01:59                       -40.03505          20206.02294 

2014:14:13:01:59                       -39.29211          20206.02294 

2014:14:13:01:59                       -39.29211          20206.02294 

2014:14:13:01:309                      -39.29211          20206.02294 

2014:14:13:01:309                      -39.29211          20206.02294 

2014:14:13:01:309                      -39.29211          20352.67769 

2014:14:13:01:309                      -39.29211          20352.67769 

2014:14:13:01:309                       -37.3093          20352.67769 

2014:14:13:01:309                       -37.3093          20352.67769 

2014:14:13:01:559                       -37.3093          20352.67769 

2014:14:13:01:559                       -37.3093          20352.67769 

2014:14:13:01:559                       -37.3093           20370.4468 

2014:14:13:01:559                       -37.3093           20370.4468 

2014:14:13:01:559                      -34.45076           20370.4468 

2014:14:13:01:559                      -34.45076           20370.4468 

2014:14:13:01:809                      -34.45076           20370.4468 

2014:14:13:01:809                      -34.45076           20370.4468 

2014:14:13:01:809                      -34.45076          20405.57031 

2014:14:13:01:809                      -34.45076          20405.57031 

2014:14:13:01:809                      -34.15456          20405.57031 

2014:14:13:01:809                      -34.15456          20405.57031 

2014:14:13:01:59                       -34.15456          20405.57031 

2014:14:13:01:59                       -34.15456          20405.57031 

2014:14:13:01:59                       -34.15456          20573.17673 

2014:14:13:01:59                       -34.15456          20573.17673 

2014:14:13:01:59                       -30.51542          20573.17673 

2014:14:13:01:59                       -30.51542          20573.17673 

2014:14:13:01:309                      -30.51542          20573.17673 

2014:14:13:01:309                      -30.51542          20573.17673 

2014:14:13:01:309                      -30.51542          20582.02301 

2014:14:13:01:309                      -30.51542          20582.02301 

2014:14:13:01:309                      -29.58453          20582.02301 

2014:14:13:01:309                      -29.58453          20582.02301 

2014:14:13:01:560                      -29.58453          20582.02301 

